question_id,llm_correct_rate,llm_target_rate,misconception_id,human_correct_rate,human_target_rate,pct_correct,pct_target
119,0.3333333333333333,0.16666666666666666,1597,8.500000000000014,13.3,8.51,13.3
139,0.16666666666666666,0.5833333333333334,1597,63.11,21.31,63.11,21.31
189,0.3333333333333333,0.08333333333333333,1507,9.450000000000003,12.86,9.46,12.86
233,0.5,0.0,1507,9.830000000000005,76.88,9.83,76.88
254,0.08333333333333333,0.6666666666666666,1507,5.680000000000007,12.35,5.67,12.35
290,0.3333333333333333,0.5,1597,24.879999999999995,17.12,24.88,17.12
304,0.5,0.16666666666666666,1507,72.94,11.13,72.95,11.13
306,0.75,0.25,1507,13.779999999999996,75.62,13.78,75.62
466,0.25,0.6666666666666666,1597,18.199999999999996,21.51,18.2,21.51
525,1.0,0.0,217,22.340000000000003,17.58,22.34,17.58
655,0.25,0.08333333333333333,1597,10.769999999999996,48.69,10.77,48.69
698,0.8333333333333334,0.0,217,8.030000000000001,17.27,8.03,17.27
789,0.5,0.08333333333333333,217,34.85,16.77,34.84,16.77
867,0.5833333333333334,0.25,1597,63.120000000000005,10.47,63.13,10.47
936,0.4166666666666667,0.25,1597,52.66,18.4,52.66,18.4
1032,0.75,0.0,1507,47.66999999999999,32.02,47.67,32.02
1035,0.4166666666666667,0.5,1597,20.42,57.14,20.41,57.14
1055,0.25,0.08333333333333333,217,8.679999999999993,16.4,8.68,16.4
1195,0.25,0.5833333333333334,1507,11.950000000000003,63.73,11.94,63.73
1229,0.3333333333333333,0.25,1507,40.849999999999994,16.9,40.85,16.9
1310,0.6666666666666666,0.0,1507,14.999999999999993,22.37,15.01,22.37
1343,0.25,0.25,1507,24.45,55.11,24.45,55.11
1373,0.3333333333333333,0.5,1597,12.819999999999993,24.48,12.82,24.48
1383,0.5,0.5,1597,19.680000000000003,52.66,19.67,52.66
1386,0.8333333333333334,0.08333333333333333,217,8.269999999999996,55.64,8.27,55.64
1390,0.2916666666666667,0.375,217,47.57000000000001,28.16,47.57,28.16
1390,0.2916666666666667,0.375,1507,47.56999999999999,11.65,47.57,11.65
1430,0.9166666666666666,0.0,217,5.84,64.72,5.84,64.72
1465,0.4166666666666667,0.4166666666666667,1507,5.339999999999996,46.68,5.33,46.68
1491,0.8333333333333334,0.08333333333333333,1597,9.620000000000005,74.35,9.62,74.35
1493,0.5,0.0,1507,8.129999999999995,12.46,8.12,12.46
1526,0.6666666666666666,0.0,217,16.459999999999994,17.41,16.46,17.41
1540,0.75,0.0,1597,10.509999999999993,76.79,10.52,76.79
1615,0.5833333333333334,0.25,1507,3.250000000000014,19.07,3.26,19.07
1718,1.0,0.0,1597,10.14,25.12,10.14,25.12
1728,0.4166666666666667,0.4166666666666667,1507,5.920000000000002,11.45,5.92,11.45
